country,capital,lat,lon,,,
Nagorno-Karabakh Republic,Stepanakert,39.824945,46.752259,,,
Namibia,Windhoek,-22.553039,17.054379,,,
Nauru,Yaren,-0.547101,166.9164,,,
Nepal,Kathmandu,27.708796,85.320244,,,
Netherlands,Amsterdam,52.37454,4.897976,,,
New Caledonia,Nouméa,-22.274526,166.442419,,,
New Zealand,Wellington,-41.288764,174.777224,,,
Nicaragua,Managua,12.146124,-86.273717,,,
Niger,Niamey,13.499814,2.109486,,,
Nigeria,Abuja,9.064331,7.489297,,,
Niue,Alofi,-19.053416,-169.919199,,,
Norfolk Island,Kingston,17.971215,-76.792813,,,
North Korea,Pyongyang,39.019474,125.753388,,,
Northern Cyprus,Nicosia,35.180282,33.373696,,,
United Kingdom Northern Ireland,Belfast,54.596987,-5.930099,,,
Northern Mariana Islands,Saipan,15.190983,145.746809,,,
Norway,Oslo,59.913269,10.739111,,,
Oman,Muscat,23.51255,58.551373,,,
Pakistan,Islamabad,33.666667,73.166667,,,
Palau,Ngerulmud,7.500619,134.624301,,,
Palestine,Jerusalem,31.789118,35.222973,,,
Panama,Panama City,30.160083,-85.654573,,,
Papua New Guinea,Port Moresby,-9.47433,147.15995,,,
Paraguay,Asunción,-2.474256,-78.184317,,,
Peru,Lima,-12.062106,-77.036526,,,
Philippines,Manila,14.590622,120.97997,,,
Pitcairn Islands,Adamstown,-25.066667,-130.100205,,,
Poland,Warsaw,52.231924,21.006727,,,
Portugal,Lisbon,38.707751,-9.136592,,,
Puerto Rico,San Juan,18.384239,-66.05344,,,
Qatar,Doha,25.285633,51.526416,,,
Republic of China (Taiwan),Taipei,25.03752,121.56368,,,
Republic of the Congo,Brazzaville,-4.269441,15.271226,,,
Romania,Bucharest,44.436141,26.10272,,,
Russia,Moscow,55.750718,37.617661,,,
Rwanda,Kigali,-1.88596,30.129675,,,
Saint Barthélemy,Gustavia,17.895704,-62.850837,,,
Saint Helena,Jamestown,42.097002,-79.235326,,,
Saint Kitts and Nevis,Basseterre,17.296092,-62.722301,,,
Saint Lucia,Castries,14.009597,-60.990236,,,
Saint Martin,Marigot,18.066854,-63.084887,,,
Saint Pierre and Miquelon,St. Pierre,43.913211,6.923957,,,
Saint Vincent and the Grenadines,Kingstown,13.156186,-61.227962,,,
Samoa,Apia,9.229167,7.259444,,,
San Marino,San Marino,43.945862,12.458306,,,
Saudi Arabia,Riyadh,24.631969,46.715065,,,
Scotland,Edinburgh,55.949563,-3.191497,,,
Senegal,Dakar,14.693425,-17.447938,,,
Serbia,Belgrade,44.817813,20.456897,,,
Seychelles,Victoria,-36.59861,144.678005,,,
Sierra Leone,Freetown,8.479004,-13.26795,,,
Singapore,Singapore,1.290475,103.852036,,,
Sint Maarten,Philipsburg,18.025071,-63.048307,,,
Slovakia,Bratislava,48.135909,17.159744,,,
Slovenia,Ljubljana,46.049865,14.506892,,,
Solomon Islands,Honiara,-9.431297,159.955277,,,
Somalia,Mogadishu,2.042778,45.338564,,,
Somaliland,Hargeisa,9.561733,44.061803,,,
South Africa,Pretoria,-25.745937,28.187944,,,
South Georgia and the South Sandwich Islands,Grytviken,-54.282305,-36.509857,,,
South Korea,Seoul,37.566679,126.978291,,,
South Ossetia,Tskhinvali,42.225122,43.970848,,,
South Sudan South Sudan,Juba,4.847202,31.595166,,,
Spain,Madrid,40.416705,-3.703582,,,
Sri Lanka,Sri Jayawardenapura Kotte,6.903166,79.909164,,,
Sudan,Khartoum,15.593325,32.53565,,,
Suriname,Paramaribo,5.82162,-55.177197,,,
Swaziland,Mbabane,-26.325745,31.144663,,,
Sweden,Stockholm,59.325117,18.071094,,,
Switzerland,Bern,46.948271,7.451451,,,
Syria,Damascus,33.51307,36.309581,,,
São Tomé and Príncipe,São Tomé,0.338924,6.731303,,,
Tajikistan,Dushanbe,38.542584,68.815213,,,
Tanzania,Dodoma,-6.179118,35.746817,,,
Thailand,Bangkok,13.754253,100.493087,,,
Togo,Lomé,6.130419,1.215829,,,
Tonga,Nukuʻalofa,-21.13434,-175.201808,,,
Transnistria,Tiraspol,46.851674,29.634976,,,
Trinidad and Tobago,Port of Spain,10.657268,-61.518017,,,
Tristan da Cunha,Edinburgh of the Seven Seas,-37.066939,-12.310412,,,
Tunisia,Tunis,33.843941,9.400138,,,
Turkey,Ankara,39.921522,32.853793,,,
Turkmenistan,Ashgabat,37.939668,58.387426,,,
Turks and Caicos Islands,Cockburn Town,21.460772,-71.139996,,,
Tuvalu,Funafuti,-8.519963,179.198255,,,
Uganda,Kampala,0.317714,32.581354,,,
Ukraine,Kiev,50.450107,30.52405,,,
United Arab Emirates,Abu Dhabi,23.997644,53.64391,,,
United Kingdom; England,London,51.507322,-0.127647,,,
United States,"Washington, D.C.",39.78373,-100.445882,,,
United States Virgin Islands,Charlotte Amalie,18.341137,-64.932789,,,
Uruguay,Montevideo,-34.905904,-56.191357,,,
Uzbekistan,Tashkent,41.312336,69.278708,,,
Vanuatu,Port Vila,-17.741497,168.315016,,,
Vatican City,Vatican City,41.903491,12.452835,,,
Venezuela,Caracas,10.506098,-66.914602,,,
Vietnam,Hanoi,21.02921,105.85247,,,
Wales,Cardiff,51.481655,-3.179193,,,
Wallis and Futuna,Mata-Utu,-13.282042,-176.174022,,,
Western Sahara,El Aaiún,27.154512,-13.195392,,,
Yemen,Sanaá,15.42281,44.19231,,,
Zambia,Lusaka,-15.416697,28.281381,,,
Zimbabwe,Harare,-17.831773,31.045686,,,
